Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Sponsors,Conference name,Conference date,Conference location,Conference code,Document Type,Publication Stage,Open Access,Source,EID
"Shastri L.","","Neurally motivated constraints on the working memory capacity of a production system for parallel processing",1992,"Proceedings of the Fourteenth Conference of the Cognitive Science Society",,,,"159","164",,9,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-0343757829
"Du N., Chen K., Kannan A., Tran L., Chen Y., Shafran I.","55697607100;57304936500;57190983493;56231034600;57216623226;13907300200;","Extracting symptoms and their status from clinical conversations",2020,"ACL 2019 - 57th Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference",,,,"915","925",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084044773&partnerID=40&md5=7fe57c364a9313e1614a8e3790395e27","This paper describes novel models tailored for a new application, that of extracting the symptoms mentioned in clinical conversations along with their status. Lack of any publicly available corpus in this privacy-sensitive domain led us to develop our own corpus, consisting of about 3K conversations annotated by professional medical scribes. We propose two novel deep learning approaches to infer the symptom names and their status: (1) a new hierarchical span-attribute tagging (SA-T) model, trained using curriculum learning, and (2) a variant of sequence-to-sequence model which decodes the symptoms and their status from a few speaker turns within a sliding window over the conversation. This task stems from a realistic application of assisting medical providers in capturing symptoms mentioned by patients from their clinical conversations. To reflect this application, we define multiple metrics. From inter-rater agreement, we find that the task is inherently difficult. We conduct comprehensive evaluations on several contrasting conditions and observe that the performance of the models range from an F-score of 0.5 to 0.8 depending on the condition. Our analysis not only reveals the inherent challenges of the task, but also provides useful directions to improve the models. © 2019 Association for Computational Linguistics",,"Computational linguistics; Comprehensive evaluation; Inter-rater agreements; Learning approach; Medical providers; New applications; Realistic applications; Sequence modeling; Sliding Window; Deep learning","Apple;ASAPP;Bloomberg Engineering;BOSCH;et al.;Expedia","57th Annual Meeting of the Association for Computational Linguistics, ACL 2019","28 July 2019 through 2 August 2019",,159206,Conference Paper,"Final","",Scopus,2-s2.0-85084044773
"Huang K.W., Lin C.C., Lee Y.M., Wu Z.X.","","A deep learning and image recognition system for image recognition",2019,"Data Sci Pattern Recognit","3","2",,"1","11",,8,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-85081045682
"Zhong Wanjun, Xu Jingjing, Tang Duyu, Xu Zenan, Duan Nan, Zhou Ming, Wang Jiahai, Yin Jian","",[No title available],2019,"Reasoning over semantic-level graph for fact checking",,,,"","",,8,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-85084173266
"Huang Q., Smolensky P., He X., Deng L., Wu D.","55233543400;6602511111;37085932700;36071490500;12807474900;","Tensor product generation networks for deep nlp modeling",2018,"NAACL HLT 2018 - 2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies - Proceedings of the Conference","1",,,"1263","1273",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066460500&partnerID=40&md5=4aa1b56408bea4ca5736245eabc07418","We present a new approach to the design of deep networks for natural language processing (NLP), based on the general technique of Tensor Product Representations (TPRs) for encoding and processing symbol structures in distributed neural networks. A network architecture - the Tensor Product Generation Network (TPGN) - is proposed which is capable in principle of carrying out TPR computation, but which uses unconstrained deep learning to design its internal representations. Instantiated in a model for image-caption generation, TPGN outperforms LSTM baselines when evaluated on the COCO dataset. The TPR-capable structure enables interpretation of internal representations and operations, which prove to contain considerable grammatical content. Our caption-generation model can be interpreted as generating sequences of grammatical categories and retrieving words by their categories from a plan encoded as a distributed representation. © 2018 The Association for Computational Linguistics.",,"Computational linguistics; Deep learning; Natural language processing systems; Network architecture; Product design; Tensors; Distributed neural networks; Distributed representation; Grammatical category; Image caption; Internal representation; NAtural language processing; New approaches; Tensor products; Long short-term memory","Amazon;Atoutiao AI Lab;Bloomberg;ByteDance;et al.;Google","2018 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, NAACL HLT 2018","1 June 2018 through 6 June 2018",,158892,Conference Paper,"Final","",Scopus,2-s2.0-85066460500
"Bounabi M., Moutaouakil K.E., Satori K.","57195492422;35329465400;35976902500;","A probabilistic vector representation and neural network for text classification",2018,"Communications in Computer and Information Science","872",,,"343","355",,8,"10.1007/978-3-319-96292-4_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063738781&doi=10.1007%2f978-3-319-96292-4_27&partnerID=40&md5=3c88943481bc451ba2e1044a705c1a32","The increasing of the textual databases and its representation in large spaces prevents the automation of the treatment of these great masses and the extraction of knowledge. In order to address the challenges of high dimensionality which using the methods and technics of the text mining. Where the term frequency-inverse document frequency (TF-IDF), weighting method, is the most required approach to represent the document. Unfortunately, TF-IDF produces descriptors of large sizes (generally greater than 1000), which requires models with great complexity. However, the texts classification systems based on these models suffer from the overfitting phenomenon and are very slow. Therefore, to overcome these problems, we use the select attributes methods; by giving the deterministic aspect of this latter, we risk to lose huge information. Thus, to recover from this loss, we propose a probabilistic vector representation of each document, based on the relevant terms selected previously. Then, we associate a set of features to each document composed by local and global probabilistic coefficients basing on the selected terms. More specifically and precisely, the components formulas are composed by the frequency of each descriptor, the length of each document and the size of the corpus. To show the performance of this treatment we propose comparative studies between TF-IDF representation and the new probabilistic representation, to classify the BBCSPORT corpus. Moreover, in the classification phase, we use several versions of Bayesian Network and Multilayer Perceptron. The obtained results are satisfied, where the neural network classifier, multilayer perceptron, gives 100% as a recognition rate, using the new representation and 94.69%, using the simple TF-IDF weighting. © Springer Nature Switzerland AG 2018.","Bayes Net; Feature selection; Multilayer perceptron; Probabilistic representation; Select attributes; Text classification","Bayesian networks; Classification (of information); Data mining; Feature extraction; Inverse problems; Multilayer neural networks; Multilayers; Bayes net; Classification system; Neural network classifier; Probabilistic representation; Probabilistic vector; Select attributes; Term frequencyinverse document frequency (TF-IDF); Text classification; Text processing",,,,,,Article,"Final","",Scopus,2-s2.0-85063738781
"Chasins Sarah, Bodik Rastislav","","Skip blocks: Reusing execution history to accelerate web scripts",2017,"Proceedings of the ACM on Programming Languages","1",,,"1","28",,8,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-85056824098
"Forbus K.D., Liang C., Rabkina I.","7003585370;57149458400;57194632893;","Representation and Computation in Cognitive Models",2017,"Topics in Cognitive Science","9","3",,"694","718",,8,"10.1111/tops.12277","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021324802&doi=10.1111%2ftops.12277&partnerID=40&md5=c3e0b2d59cc2ae1e283bc2530ca7ad23","One of the central issues in cognitive science is the nature of human representations. We argue that symbolic representations are essential for capturing human cognitive capabilities. We start by examining some common misconceptions found in discussions of representations and models. Next we examine evidence that symbolic representations are essential for capturing human cognitive capabilities, drawing on the analogy literature. Then we examine fundamental limitations of feature vectors and other distributed representations that, despite their recent successes on various practical problems, suggest that they are insufficient to capture many aspects of human cognition. After that, we describe the implications for cognitive architecture of our view that analogy is central, and we speculate on roles for hybrid approaches. We close with an analogy that might help bridge the gap. Copyright © 2017 Cognitive Science Society, Inc.","Analogy; Computational modeling; Learning; Machine learning; Relational representations; Representation; Symbolic modeling","cognition; human; learning; psychology; theoretical model; Cognition; Cognitive Science; Humans; Learning; Models, Theoretical",,,,,,Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85021324802
"Gaunt Alexander L, Brockschmidt Marc, Kushman Nate, Tarlow Daniel","","Differentiable programs with neural libraries",2017,"Proceedings of the 34th International Conference on Machine Learning",,,,"1213","1222",,8,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-85071156970
"Graben P.B., Rodrigues S.","23110284000;57202415938;","A biophysical observation model for field potentials of networks of leaky integrate-and-fire neurons",2013,"Frontiers in Computational Neuroscience",,"JAN",,"1","13",,8,"10.3389/fncom.2012.00100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872080384&doi=10.3389%2ffncom.2012.00100&partnerID=40&md5=255ed6d32e5cd81b7de8738607095d14","We present a biophysical approach for the coupling of neural network activity as resulting from proper dipole currents of cortical pyramidal neurons to the electric field in extracellular fluid. Starting from a reduced three-compartment model of a single pyramidal neuron, we derive an observation model for dendritic dipole currents in extracellular space and thereby for the dendritic field potential (DFP) that contributes to the local field potential (LFP) of a neural population. This work aligns and satisfies the widespread dipole assumption that is motivated by the ""open-field"" configuration of the DFP around cortical pyramidal cells. Our reduced three-compartment scheme allows to derive networks of leaky integrate-and-fire (LIF) models, which facilitates comparison with existing neural network and observation models. In particular, by means of numerical simulations we compare our approach with an ad hoc model by Mazzoni et al. (2008), and conclude that our biophysically motivated approach yields substantial improvement. © 2013 beim Graben and Rodrigues.","Biophysics; Current dipoles; Extracellular medium; Field potentials; Leaky integrate-and-fire neuron; Neural networks","Current dipoles; Dipole currents; Extracellular fluid; Extracellular medium; Extracellular space; Field potential; Integrate-and-fire model; Integrate-and-fire neurons; Local field potentials; Network activities; Neural populations; Observation model; Pyramidal cell; Pyramidal neuron; Biophysics; Body fluids; Electric fields; Electrophysiology; Independent component analysis; Neurons; Neural networks; article; biophysics; brain electrophysiology; dendritic dipole current; dendritic field potential; extracellular space; local field potential; nerve cell network; pyramidal nerve cell; simulation",,,,,,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84872080384
"Wang Q., Ji Y., Hao Y., Cao J.","57216212246;56017430500;55197931300;57192160183;","GRL: Knowledge graph completion with GAN-based reinforcement learning",2020,"Knowledge-Based Systems","209",,"106421","","",,7,"10.1016/j.knosys.2020.106421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091653381&doi=10.1016%2fj.knosys.2020.106421&partnerID=40&md5=61c72f18d6f85c67d95b32717a8ebef9","Knowledge graph completion intends to infer the entities that need to be queried through the entities and relations known in the knowledge graphs. It is used in many applications, such as question and answer systems, and searching engines. As the completion process can be represented as a Markov process, existing works would solve this problem with reinforcement learning. However, there are three issues blocking them from achieving high accuracy, which are reward sparsity, missing specific domain rules, and ignoring the generation of knowledge graphs. In this paper, we design a generative adversarial net (GAN)-based reinforcement learning model, named GRL, for knowledge graph completion. First, GRL employs the graph convolutional network to embed the knowledge graphs into the low-dimensional space. Second, GRL employs both GAN and long short-term memory (LSTM) to record trajectory sequences obtained by the agent from traversing the knowledge graph and generate new trajectory sequences if needed. At the same time, GRL applies domain-specific rules accordingly. Finally, GRL employs the deep deterministic policy gradient method to optimize both rewards and adversarial loss. The experiments show that GRL is able to both generate better policies and outperform traditional methods for several tasks. © 2020 Elsevier B.V.","Deep learning; Knowledge graph; Knowledge graph completion; Reinforcement learning","Convolutional neural networks; Gradient methods; Knowledge representation; Long short-term memory; Markov processes; Convolutional networks; Domain specific; Knowledge graphs; Low-dimensional spaces; Policy gradient methods; Question and answer system; Reinforcement learning models; Searching engine; Reinforcement learning",,,,,,Article,"Final","",Scopus,2-s2.0-85091653381
"Lin Y., Li J., Yang L., Xu K., Lin H.","56399483900;57216838178;55733088000;48762086600;24468572400;","Sentiment Analysis with Comparison Enhanced Deep Neural Network",2020,"IEEE Access","8",,"9076035","78378","78384",,7,"10.1109/ACCESS.2020.2989424","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084928560&doi=10.1109%2fACCESS.2020.2989424&partnerID=40&md5=5d1f755718247721353a7215b34e3966","Sentiment analysis is a significant task in Natural Language Processing. It refers to classification based on the emotional tendency in text by extracting text features. The existing results show that models based on RNN and CNN have good performance. In order to improve the performance of text sentiment analysis, we reformulate the classification task as a comparing problem, and propose Comparison Enhanced Bi-LSTM with Multi-Head Attention (CE-B-MHA). In fact, it is efficient to classify by comparison mechanism instead of doing complex calculation. In this model, bidirectional LSTM is used for initial feature extraction, and valuable information is extracted from different dimensions and representation subspaces by Multi-Head Attention. The comparison mechanism aims to score the feature vectors by comparing with the labeled vectors. The experimental results show that CE-B-MHA has better performance than many existing models on three sentiment analysis datasets. © 2013 IEEE.","machine learning; neural networks; Sentiment analysis","Long short-term memory; Sentiment analysis; Classification tasks; Feature vectors; NAtural language processing; Text feature; Deep neural networks",,,,,,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85084928560
"Es-Sabery F., Hair A.","57216687150;6603926985;","An Improved ID3 Classification Algorithm Based on Correlation Function and Weighted Attribute",2019,"Proceedings - 2019 International Conference on Intelligent Systems and Advanced Computing Sciences, ISACS 2019",,,"9068891","","",,7,"10.1109/ISACS48493.2019.9068891","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084278134&doi=10.1109%2fISACS48493.2019.9068891&partnerID=40&md5=41e1909682a8b585d3f68c7dc6c1d895","ID3 decision tree algorithm is a supervised learning model based on calculating the information gain to select the best splitting attribute, which is the main factor to construct a decision tree. The process of calculating gain takes into consideration only a current condition attribute and decision attribute, and the other condition attributes cannot be used to measure the attribute importance. Because of the above problem, an improved ID3 takes into consideration the connection between the current condition attribute and the other conditions attributes. An experiment is presented to compare our improved algorithm with the traditional ID3 algorithm. Experiment results show that our improved algorithm provides a decision tree with less number of leaves and higher predictive accuracy. © 2019 IEEE.","Classification; Data Mining; Decision Tree; ID3; Information gain; Weighted Modified Information gain","Decision trees; Intelligent systems; Attribute importance; Classification algorithm; Condition attributes; Correlation function; Decision attribute; Decision-tree algorithm; Predictive accuracy; Weighted attributes; Trees (mathematics)","Association of Research Professors and Officials of the Taza FP;IEEE Morocco Section;Polydisciplinary Faculty of Taza","3rd International Conference on Intelligent Systems and Advanced Computing Sciences, ISACS 2019","26 December 2019 through 27 December 2019",,159407,Conference Paper,"Final","",Scopus,2-s2.0-85084278134
"Misra R., Arora P.","",[No title available],2019,"Sarcasm Detection Using Hybrid Neural Network",,,,"","",,7,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-85081261033
"Lee K., Palangi H., Chen X., Hu H., Gao J.","",[No title available],2019,"Learning visual relation priors for image-text matching and image captioning with neural scene graph generators",,,,"","",,7,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-85089805438
"Wu Y., Luo R., Leung H.C.M., Ting H.-F., Lam T.-W.","57208683314;35763988800;35233742700;7005654198;7202523165;","RENET: A Deep Learning Approach for Extracting Gene-Disease Associations from Literature",2019,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","11467 LNBI",,,"272","284",,7,"10.1007/978-3-030-17083-7_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065526380&doi=10.1007%2f978-3-030-17083-7_17&partnerID=40&md5=e851f1ff9e8bd196474a687a8ade8d12","Over one million new biomedical articles are published every year. Efficient and accurate text-mining tools are urgently needed to automatically extract knowledge from these articles to support research and genetic testing. In particular, the extraction of gene-disease associations is mostly studied. However, existing text-mining tools for extracting gene-disease associations have limited capacity, as each sentence is considered separately. Our experiments show that the best existing tools, such as BeFree and DTMiner, achieve a precision of 48% and recall rate of 78% at most. In this study, we designed and implemented a deep learning approach, named RENET, which considers the correlation between the sentences in an article to extract gene-disease associations. Our method has significantly improved the precision and recall rate to 85.2% and 81.8%, respectively. The source code of RENET is available at https://bitbucket.org/alexwuhkucs/gda-extraction/src/master/. © 2019, Springer Nature Switzerland AG.","Deep learning; Gene-disease association; Literature mining; Relation Extraction","Data mining; Extraction; Genes; Molecular biology; Gene-disease associations; Genetic testing; Learning approach; Limited capacity; Literature mining; Precision and recall; Relation extraction; Source codes; Deep learning","Akamai Technologies;Computation (MDPI journal);et al.;Natera;Springer;The George Washington University","23rd International Conference on Research in Computational Molecular Biology, RECOMB 2019","5 May 2019 through 8 May 2019",,225459,Conference Paper,"Final","",Scopus,2-s2.0-85065526380
"Hidey C., Diab M.","","Team sweeper: Joint sentence extraction and fact checking with pointer networks",2018,"Proceedings of the First Workshop on Fact Extraction and VERification (FEVER)",,,,"150","155",,7,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-85076463779
"Arif M.H., Li J., Iqbal M., Peng H.","57210526777;55720560100;57202609807;57190014707;","Optimizing XCSR for Text Classification",2017,"Proceedings - 11th IEEE International Symposium on Service-Oriented System Engineering, SOSE 2017",,,"7943296","86","95",,7,"10.1109/SOSE.2017.9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022181309&doi=10.1109%2fSOSE.2017.9&partnerID=40&md5=5a5be053d006f8adddf51413a98d037e","XCS, an evolutionary computing technique, can classify data using both bit strings and real valued representations. 'Real valued XCS' (XCSR) commonly uses the min max interval based representation (MMR) for continuous valued data sets. Text data sets can be represented using bag of words based real valued representation, e.g. term frequency inverse document frequency of features. In this work we classify social media short informal text messages using XCSR, for the first time, from two major domains, i.e. spam detection and sentiment analysis. We perform spam detection of SMS and Email messages, and sentiment analysis of reviews and tweets. Feature vectors extracted from short text messages are very sparse and XCSR with MMR representation can not handle sparse data sets very well. We proposed XCSR# that uses MMR representation with explicit 'don't care' intervals to handle sparse social media data sets. The experimental results indicate that introduction of the explicit 'don't care' intervals improved the performance and created a statistically significant impact, specifically in the spam detection data sets. Further, it is observed that XCSR# produced more accurate and general rules than XCSR. © 2017 IEEE.","Sentiment Analysis; Spam Detection; Text Classification; XCSR","Data mining; Social networking (online); Systems engineering; Text processing; Evolutionary computing; Real-valued representations; Sentiment analysis; Short text messages; Spam detection; Term frequency-inverse document frequencies; Text classification; XCSR; Classification (of information)","IEEE;IEEE Computer Society;San Jose State University","11th IEEE International Symposium on Service-Oriented System Engineering, SOSE 2017","6 April 2017 through 9 April 2017",,128270,Conference Paper,"Final","",Scopus,2-s2.0-85022181309
"Evans V.","","What's in a concept? Analog versus parametric concepts in LCCM Theory",2015,"The Conceptual Mind: New Directions in the Study of Concepts",,,,"251","290",,7,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-84925474291
"Stewart T.C., Choo X., Eliasmith C.","","Sentence processing in spiking neurons: A biologically plausible leftcorner parser",2014,"36th Annual Conference of the Cognitive Science Society",,,,"1533","1538",,7,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-84960545023
"Kushman N., Zettlemoyer L., Barzilay R., Artzi Y.","","Learning to automatically solve algebra word problems",2014,"ACL",,,,"","",,7,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-85007150187
"Tabor W., Cho P.W., Szkudlarek E.","6603814753;55771113000;55646983300;","Fractal Analysis Illuminates the Form of Connectionist Structural Gradualness",2013,"Topics in Cognitive Science","5","3",,"634","667",,7,"10.1111/tops.12036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880331465&doi=10.1111%2ftops.12036&partnerID=40&md5=fe8912f3abdc2a6548227961f90c0086","We examine two connectionist networks-a fractal learning neural network (FLNN) and a Simple Recurrent Network (SRN)-that are trained to process center-embedded symbol sequences. Previous work provides evidence that connectionist networks trained on infinite-state languages tend to form fractal encodings. Most such work focuses on simple counting recursion cases (e.g., anbn), which are not comparable to the complex recursive patterns seen in natural language syntax. Here, we consider exponential state growth cases (including mirror recursion), describe a new training scheme that seems to facilitate learning, and note that the connectionist learning of these cases has a continuous metamorphosis property that looks very different from what is achievable with symbolic encodings. We identify a property-ragged progressive generalization-which helps make this difference clearer. We suggest two conclusions. First, the fractal analysis of these more complex learning cases reveals the possibility of comparing connectionist networks and symbolic models of grammatical structure in a principled way-this helps remove the black box character of connectionist networks and indicates how the theory they support is different from symbolic approaches. Second, the findings indicate the value of future, linked mathematical and empirical work on these models-something that is more possible now than it was 10 years ago. © 2013 Cognitive Science Society, Inc.","Dynamical systems; Fractal grammars; Generalization; Neural (connectionist) networks; Recursion; Self-organization; Simple Recurrent Network (SRN); Symbolic models","algorithm; article; artificial neural network; computer simulation; Dynamical systems; fractal analysis; Fractal grammars; generalization; human; language; learning; Neural (connectionist) networks; Recursion; self-organization; Simple Recurrent Network (SRN); Symbolic models; theoretical model; Dynamical systems; Fractal grammars; Generalization; Neural (connectionist) networks; Recursion; Self-organization; Simple Recurrent Network (SRN); Symbolic models; Algorithms; Computer Simulation; Fractals; Generalization (Psychology); Humans; Language; Models, Theoretical; Neural Networks (Computer)",,,,,,Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84880331465
"Kumar M., Das D., Agarwal S., Rudnicky A.","","Non-textual event summarization by applying machine learning to template-based language generation",2009,"Proceedings of the 2009 Workshop on Language Generation and Summarisation",,,,"67","71",,7,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-79959652444
"Ropero J., Gómez A., Leon C., Carrasco A.","8856865200;57213449257;24724405600;23395682000;","Term weighting: Novel fuzzy logic based method vs. classical TF-IDF method for web information extraction",2009,"ICEIS 2009 - 11th International Conference on Enterprise Information Systems, Proceedings","AIDSS",,,"130","137",,7,"10.5220/0001982901300137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-74549167331&doi=10.5220%2f0001982901300137&partnerID=40&md5=a8907ae6fd07d5bf6283866c139a555c","Solving Term Weighting problem is one of the most important tasks for Information Retrieval and Information Extraction. Tipically, the TF-IDF method have been widely used for determining the weight of a term. In this paper, we propose a novel alternative fuzzy logic based method. The main advantage for the proposed method is the obtention of better results, especially in terms of extracting not only the most suitable information but also related information. This method will be used for the design of a Web Intelligent Agent which will soon start to work for the University of Seville web page.","Fuzzy logic; Information extraction; Information retrieval; Intelligent agent; Term weighting; TF-IDF; Vector space model","Computer circuits; Information retrieval; Information systems; Information use; Intelligent agents; Vector spaces; Websites; Seville; Term weighting; TF-IDF; Vector space models; Web information extraction; Fuzzy logic",,"ICEIS 2009 - 11th International Conference on Enterprise Information Systems","6 May 2009 through 10 May 2009","Milan",79065,Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-74549167331
"Amaral C., Cassan A., Figueira H., Martins A., Mendes A., Mendes P., Pinto C., Vidal D.","14832184400;23392245200;23392597200;55937372200;23393151700;57197289932;23393942600;23394239800;","Priberam's question answering system in QA@CLEF 2007",2008,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","5152 LNCS",,,"364","371",,7,"10.1007/978-3-540-85760-0_46","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349832162&doi=10.1007%2f978-3-540-85760-0_46&partnerID=40&md5=be684898c902a6b844b989774d481f99","This paper accounts for Priberam's participation in the monolingual question answering (QA) track of CLEF 2007. In previous participations, Priberam's QA system obtained encouraging results both in monolingual and cross-language tasks. This year we endowed the system with syntactical processing, in order to capture the syntactic structure of the question. The main goal was to obtain a more tuned question categorisation and consequently a more precise answer extraction. Besides this, we provided our system with the ability to handle topic-related questions and to use encyclopaedic sources like Wikipedia. The paper provides a description of the improvements made in the system, followed by the discussion of the results obtained in Portuguese and Spanish monolingual runs. © 2008 Springer-Verlag Berlin Heidelberg.",,"Syntactics; Answer extraction; Cross languages; QA system; Question Answering; Question answering systems; Syntactic structure; Wikipedia; Natural language processing systems",,"8th Workshop of the Cross-Language Evaluation Forum, CLEF 2007","19 September 2007 through 21 September 2007","Budapest",77494,Conference Paper,"Final","",Scopus,2-s2.0-70349832162
"Hadelich K., Branigan H., Pickering M., Crocker M.","","Alignment in Dialogue: Effects of Visual versus Verbal-feedback",2004,"Proceedings of the 8th Workshop on the Semantics and Pragmatics of Dialogue, Catalog'04",,,,"35","40",,7,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-33749041963
"Zhong Y.-X.","7401809029;","Study on information-knowledge-intelligence transformation",2004,"Tien Tzu Hsueh Pao/Acta Electronica Sinica","32","4",,"601","605",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142731912&partnerID=40&md5=555bfc34e77b4761c53e4adbaddb5ecd","Resources are the bases of human life. Energy is the characteristic resource in industrial age and therefore, the law of energy transform and conservation became the solid foundation of science and technology in modern time. Information is the characteristic resource in information age and thus the transformational and unified theory of information, knowledge, strategy and its execution will be the soul of science and technology development in information age. The concepts and the mechanism of information, knowledge, strategy and its execution will be explained and the unified theory of information, knowledge, strategy and its execution can thus be established within which the information theory has yet greatly gone beyond Shannon theory. The knowledge theory has also dramatically extended from knowledge engineering. The three existing approaches of intelligence theory, the neural networks approach, the expert systems approach, and the sensor-motor approach, are integrated into a uniform system. The unified theory will provide new vision and new vigor for the further development of intelligence science.","Comprehensive information theory (CIT); Knowledge; Knowledge theory; Strategy and execution; Unified theory of information","Expert systems; Information theory; Knowledge engineering; Neural networks; Strategic planning; Comprehensive information theory; Knowledge; Knowledge theory; Strategy and execution; Unified theory of information; Artificial intelligence",,,,,,Article,"Final","",Scopus,2-s2.0-3142731912
"Lan Y., Hao Y., Xia K., Qian B., Li C.","57207795264;57188804372;57216587623;36601594000;56564807100;","Stacked Residual Recurrent Neural Networks with Cross-Layer Attention for Text Classification",2020,"IEEE Access","8",,"9063530","70401","70410",,6,"10.1109/ACCESS.2020.2987101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083963945&doi=10.1109%2fACCESS.2020.2987101&partnerID=40&md5=372440643f910231d6bba2bf2dbe29f0","Text classification is a fundamental task in natural language processing and is essential for many tasks like sentiment analysis and question classification etc. As we all know, different NLP tasks require different linguistic features. Tasks such as text classification requires more semantic features than other tasks such as dependency parsing requiring more syntactic features. Most existing methods focus on improving performance by mixing and calibrating features, without distinguishing the types of features and corresponding effects. In this paper, we propose a stacked residual recurrent neural networks with cross-layer attention model to filter more semantic features for text classification, which named SRCLA. Firstly, we build a stacked network structure to filter different types of linguistic features, and then propose a novel cross-layer attention mechanism that exploits higher-level features to supervise the lower-level features to refine the filtering process. Based on this, more semantic features can be selected for text classification. We conduct experiments on eight text classification tasks, including sentiment analysis, question classification and subjectivity classification and compare with a broad range of baselines. Experimental results show that the proposed approaches achieve the state-of-the-art results on 5 out of 8 tasks. © 2020 IEEE.","bidirectional long short-term memory; Cross-layer attention; feature filtering; stacked residual neural network; text classification","Multilayer neural networks; Network layers; Recurrent neural networks; Semantics; Sentiment analysis; Syntactics; Attention mechanisms; Improving performance; Linguistic features; NAtural language processing; Network structures; Question classification; Subjectivity classifications; Text classification; Classification (of information)",,,,,,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85083963945
